what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480107891761
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480107891944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480107892227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480107895383
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480107898999
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480107899295
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480107904532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480107919316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480107935928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480107938782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480108001291
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480108002171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480108003970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480108005041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480108006581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480108006693
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480108007992
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1480108008611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480108008965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480108010557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480108017561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480108018532
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1480108018539
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480108021136
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480108021457
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480108026526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480108035327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480108170447
